Question;Q1;Q2;Q3;Q4;Q5;Answer
"What is the mathematical definition of the baseband equivalent signal \( c_b(\tau) \)?";"\( c_b(\tau) = g_{B/2}(\tau) * [c_p(\tau) e^{-j2\pi f_c \tau}] \)";"\( c_b(\tau) = g_{B/2}(\tau) \cdot [c_p(\tau) e^{j2\pi f_c \tau}] \)";"\( c_b(\tau) = c_p(\tau) * \delta(\tau - \tau_0) \)";"\( c_b(\tau) = \text{sinc}(B\tau) \)";;1000
"Why is the pseudo-baseband spectrum considered complex?";"Because the behavior in negative frequencies is different than the behavior in positive frequencies";"Because it only contains real-valued components";"Because it is centered at 0 Hz instead of the carrier frequency";"Because it requires a higher sampling rate than the passband signal";;1000
"What are the conditions for the total gain \( G \) over a tapped delay line to be greater than 1?";"\( G_{TX}^{ant} \gg 1 \) OR \( G_{RX}^{ant} \gg 1 \) OR \( A \ll 1 \) (low attenuation)";"\( G_{TX}^{ant} \ll 1 \) AND \( G_{RX}^{ant} \ll 1 \)";"The signal must be band-limited before filtering";"The number of delays \( Q \) must be equal to 1";;1000
"In the discretized system model, how is the received signal \( y[n] \) expressed using discrete convolution?";"\( y[n] = \sum_{l=-\infty}^{+\infty} c[l]x[n-l] \)";"\( y[n] = \sum_{l=0}^{L} c[l] + x[n-l] \)";"\( y[n] = c[n] \cdot x[n] \)";"\( y[n] = \int c(\tau)x(t-\tau) d\tau \)";;1000
"According to the notes, what is the 'best filter choice' at the receiver (\( g_{RX} \)) for a given transmit pulse \( g_{TX} \)?";"The Matched Filter: \( g_{RX}(t) = g_{TX}^*(-t) \)";"The Low-pass Filter: \( g_{RX}(t) = \text{sinc}(t/T) \)";"The Rectangular Filter: \( g_{RX}(t) = \text{rect}(t/T) \)";"The Causal Filter: \( g_{RX}(t) = g_{TX}(t-nT) \)";;1000
"What is the physical cause of thermal noise in electronic devices?";"Temperature causing electrons and atoms to move, generating voltage";"The use of non-ideal (non-pure) sinusoids in the local oscillator";"Interference from the Large-Scale path attenuation";"The discretization process and the Nyquist sampling theorem";;1000
"Why is noise in digital communications models usually assumed to be Gaussian?";"Due to the Central Limit Theorem applying to the sum of many independent distributions";"Because the PSD of the TX signal is much higher than the PSD of the noise";"Because real-life signals are always Hermitian (symmetric)";"To ensure the signal remains within the baseband bandwidth \( B \)";;1000
"What is Friis Formula used for in noise analysis?";"To calculate the total Noise Figure (\( F_{tot} \)) of \( N \) concatenated blocks";"To determine the Signal-to-Noise Ratio (SNR) in the power domain";"To define the energy per symbol \( E_s \) in a flat channel";"To convert noise power from Watts to dBm";;1000
"What is the standard value for the noise PSD (\( N_{0,dBm} \)) used in exercises?";"\( -174 \text{ dBm/Hz} \)";"\( -120 \text{ dBm/Hz} \)";"\( 1.38 \times 10^{-23} \text{ dBm/Hz} \)";"\( 0 \text{ dBm/Hz} \)";;1000
"What is the conceptual difference between dB and dBm according to the handwritten notes?";"dB is a pure number representing a ratio (increase), while dBm represents power relative to 1 mW";"dB is for power spectral density, while dBm is for total energy";"dB is used for discrete signals, while dBm is used for analog signals";"There is no difference; they are interchangeable units of power";;1000
"In a MIMO system, what do the indices \( i \) and \( j \) of the matrix \( \mathbf{H}_{i,j} \) represent?";"\( i \) is the RX antenna index and \( j \) is the TX antenna index";"\( i \) is the TX antenna index and \( j \) is the RX antenna index";"\( i \) is the time index and \( j \) is the frequency index";"\( i \) is the symbol index and \( j \) is the delay index";;1000
"How is the Signal-to-Noise Ratio (SNR) defined in the power domain?";"\( SNR = G \frac{E_s}{N_0} \)";"\( SNR = \sqrt{G} \frac{E_s}{N_0} \)";"\( SNR = 10 \log_{10}(G \cdot E_s) \)";"\( SNR = \frac{N_0}{E_s} \)";;1000
"What distinguishes 'Large-Scale' from 'Small-Scale' path effects?";"'Large-Scale' is the path from the BTS to the general area (town), 'Small-Scale' is the specific path/scattering into the town";"'Large-Scale' refers to high frequencies, 'Small-Scale' refers to low frequencies";"'Large-Scale' is measured in dBm, 'Small-Scale' is measured in dB";"'Large-Scale' is constant, 'Small-Scale' is Gaussian";;1000
